regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,class,metric,value
single_label,positive_prototype,1,1,balanced,3,0.1,nan,No Finding,nll,0.6834965944290161
single_label,positive_prototype,1,1,balanced,3,0.1,nan,No Finding,calibration_error,0.10111943632364273
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,auroc,0.6029199957847595
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,auprc,0.41976749897003174
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,f1,0.414000004529953
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,accuracy,0.609333336353302
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,nll,0.6247373819351196
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Fracture,calibration_error,0.041611041873693466
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,auroc,0.6195780038833618
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,auprc,0.43818825483322144
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,f1,0.4440191388130188
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,accuracy,0.612666666507721
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,nll,0.6207056641578674
single_label,positive_prototype,1,1,balanced,3,0.1,nan,Cardiomegaly,calibration_error,0.03345906734466553
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,auroc,0.5048800110816956
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,auprc,0.3498215079307556
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,f1,0.3108808398246765
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,accuracy,0.5566666722297668
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,nll,0.6772308945655823
single_label,positive_prototype,1,1,balanced,4,0.1,nan,No Finding,calibration_error,0.09452501684427261
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,auroc,0.5960500240325928
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,auprc,0.39048731327056885
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,f1,0.42095237970352173
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,accuracy,0.5946666598320007
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,nll,0.6329473257064819
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Fracture,calibration_error,0.043178755789995193
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,auroc,0.5875099897384644
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,auprc,0.3964826762676239
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,f1,0.4000000059604645
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,accuracy,0.6060000061988831
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,nll,0.6357055902481079
single_label,positive_prototype,1,1,balanced,4,0.1,nan,Cardiomegaly,calibration_error,0.0481848306953907
single_label,global_negative_centroid,1,1,balanced,0,0.5,nan,No Finding,auroc,0.5123040080070496
