regime,method,shot,negative_shot,support_protocol,temperature,threshold,metric,mean,std
single_label,global_negative_centroid,1,20,abundant_controls,0.5,nan,calibration_error,0.07085442543029785,0.008378781227630232
single_label,random_residual,1,20,abundant_controls,1.0,nan,auroc,0.5398691912492116,0.007468788606157696
single_label,random_residual,1,20,abundant_controls,1.0,nan,auprc,0.37748218576113385,0.01124215894031444
single_label,random_residual,1,20,abundant_controls,1.0,nan,macro_f1,0.36994922359784443,0.005307152191555911
single_label,random_residual,1,20,abundant_controls,1.0,nan,accuracy,0.3702666640281677,0.005133767782657557
single_label,random_residual,1,20,abundant_controls,1.0,nan,nll,1.0976644515991212,0.003548851184156679
single_label,random_residual,1,20,abundant_controls,1.0,nan,calibration_error,0.02975907698273659,0.004805186743985125
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,auroc,0.5565993388493856,0.009260083093110204
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,auprc,0.37973978320757545,0.011943169563521419
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,macro_f1,0.3791756391525269,0.011260662199132045
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,accuracy,0.3795999944210052,0.011893973860688342
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,nll,1.1166706800460815,0.007767529220556941
single_label,metadata_matched_residual,1,20,abundant_controls,0.5,nan,calibration_error,0.0905505284667015,0.011577056412767078
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,auroc,0.57682812611262,0.010965447819230792
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,auprc,0.39531347155570984,0.013955753312584368
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,macro_f1,0.3949551939964294,0.012854914135165145
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,accuracy,0.39533333778381347,0.013408121233819499
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,nll,1.097377324104309,0.008453831852136263
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,calibration_error,0.06789668276906013,0.01185401952518889
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,auroc,0.584041404724121,0.010046887979368554
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,auprc,0.40080034732818604,0.013154822315994616
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,macro_f1,0.3987091223398844,0.010936303060598207
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,accuracy,0.3990666627883911,0.01142705661558906
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,nll,1.0986539363861083,0.008842063650819866
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,calibration_error,0.08015358448028564,0.009947526183548406
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,auroc,0.5903021335601807,0.00782213047514398
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,auprc,0.40635879834493,0.011909791456451055
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,macro_f1,0.40766992171605426,0.009986592670273537
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,accuracy,0.408266669511795,0.010473250806966128
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,nll,1.092376208305359,0.0076850499808502155
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,calibration_error,0.07086400836706161,0.0068976289999784
single_label,positive_prototype,3,3,balanced,0.05,nan,auroc,0.6325234611829122,0.002902015859664926
single_label,positive_prototype,3,3,balanced,0.05,nan,auprc,0.44987759391466775,0.0067508772333885435
single_label,positive_prototype,3,3,balanced,0.05,nan,macro_f1,0.4470702111721039,0.00718076331043965
single_label,positive_prototype,3,3,balanced,0.05,nan,accuracy,0.4491999983787537,0.0076361650701278596
single_label,positive_prototype,3,3,balanced,0.05,nan,nll,1.0595285654067994,0.00363028812841375
single_label,positive_prototype,3,3,balanced,0.05,nan,calibration_error,0.04720652103424072,0.006125297041764138
single_label,global_negative_centroid,3,3,balanced,0.5,nan,auroc,0.601691198348999,0.005985730047237187
single_label,global_negative_centroid,3,3,balanced,0.5,nan,auprc,0.4215262989203135,0.0058332289282290156
single_label,global_negative_centroid,3,3,balanced,0.5,nan,macro_f1,0.4197468161582947,0.005572415806511694
single_label,global_negative_centroid,3,3,balanced,0.5,nan,accuracy,0.42080000042915344,0.005505559338780779
single_label,global_negative_centroid,3,3,balanced,0.5,nan,nll,1.0728943586349486,0.00571827407005645
single_label,global_negative_centroid,3,3,balanced,0.5,nan,calibration_error,0.03583414554595947,0.005607743432073746
single_label,random_residual,3,3,balanced,0.5,nan,auroc,0.5696967363357544,0.013521573685906077
single_label,random_residual,3,3,balanced,0.5,nan,auprc,0.3929524838924408,0.009091881434639723
single_label,random_residual,3,3,balanced,0.5,nan,macro_f1,0.39034024477005,0.013264484607137268
single_label,random_residual,3,3,balanced,0.5,nan,accuracy,0.3909333348274231,0.013487450067640605
single_label,random_residual,3,3,balanced,0.5,nan,nll,1.106127715110779,0.010990996834966125
single_label,random_residual,3,3,balanced,0.5,nan,calibration_error,0.07738185822963714,0.01213581701079086
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,auroc,0.5722976048787435,0.007081864872486166
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,auprc,0.3926151315371195,0.005538379429508475
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,macro_f1,0.39157547752062477,0.004728522890416912
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,accuracy,0.39226666688919065,0.0043358963001647495
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,nll,1.1155109405517578,0.008950614697602013
single_label,metadata_matched_residual,3,3,balanced,0.5,nan,calibration_error,0.0940906822681427,0.004617714192912433
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,auroc,0.5902140657107036,0.008164921375680608
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,auprc,0.4107057551542918,0.0063412503379849435
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,macro_f1,0.41145647565523785,0.011928935079333892
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,accuracy,0.41266666650772094,0.011411493785072486
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,nll,1.081160831451416,0.006194651033436285
single_label,full_embedding_matched_residual,3,3,balanced,0.5,nan,calibration_error,0.04345893710851669,0.0067745762342928915
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,auroc,0.595333993434906,0.007718552674685065
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,auprc,0.4148908297220866,0.006287241044063468
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,macro_f1,0.4179971019426982,0.008951765524186533
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,accuracy,0.4190666675567627,0.008545299953197971
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,nll,1.0782747268676758,0.006467767733028665
single_label,anatomy_matched_residual,3,3,balanced,0.5,nan,calibration_error,0.040902552753686906,0.00542750373781698
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,auroc,0.6029001990954082,0.005911819452535449
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,auprc,0.4233149449030558,0.0071068914076448265
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,macro_f1,0.41815722982088727,0.009376104784567366
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,accuracy,0.4190666675567627,0.009528900504784265
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,nll,1.072232460975647,0.006165644159226901
single_label,shuffled_anatomy_match,3,3,balanced,0.5,nan,calibration_error,0.03958784937858582,0.01077510179298558
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,auroc,0.6325234611829122,0.002902015859664926
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,auprc,0.44987759391466775,0.0067508772333885435
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,macro_f1,0.4470702111721039,0.00718076331043965
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,accuracy,0.4491999983787537,0.0076361650701278596
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,nll,1.0595285654067994,0.00363028812841375
single_label,positive_prototype,3,20,abundant_controls,0.05,nan,calibration_error,0.04720652103424072,0.006125297041764138
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,auroc,0.6302902619043986,0.0012211868048163932
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,auprc,0.4436513920625051,0.0032393931022167348
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,macro_f1,0.440168168147405,0.006445752795655654
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,accuracy,0.4433333337306976,0.005676463708701182
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,nll,1.0532172918319702,0.0020612491441564396
single_label,global_negative_centroid,3,20,abundant_controls,0.5,nan,calibration_error,0.03978482335805893,0.002859373980012451
single_label,random_residual,3,20,abundant_controls,0.5,nan,auroc,0.5696967363357544,0.013521573685906077
single_label,random_residual,3,20,abundant_controls,0.5,nan,auprc,0.3929524838924408,0.009091881434639723
single_label,random_residual,3,20,abundant_controls,0.5,nan,macro_f1,0.39034024477005,0.013264484607137268
single_label,random_residual,3,20,abundant_controls,0.5,nan,accuracy,0.3909333348274231,0.013487450067640605
single_label,random_residual,3,20,abundant_controls,0.5,nan,nll,1.106127715110779,0.010990996834966125
single_label,random_residual,3,20,abundant_controls,0.5,nan,calibration_error,0.07738185822963714,0.01213581701079086
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,auroc,0.5904352029164632,0.005205919380344593
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,auprc,0.407486891746521,0.005238793642985242
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,macro_f1,0.4032026708126068,0.004634704863170266
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,accuracy,0.40453333258628843,0.004723462034370958
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,nll,1.0875073671340942,0.005916683529259487
single_label,metadata_matched_residual,3,20,abundant_controls,0.5,nan,calibration_error,0.0651428259909153,0.004414299824209514
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,auroc,0.6138238708178202,0.0018728640847331594
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,auprc,0.42973810036977134,0.004538763737322717
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,macro_f1,0.4289991478125254,0.0067525291566615225
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,accuracy,0.43079999685287473,0.006689958809242206
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,nll,1.0653513669967651,0.002088551005539854
single_label,full_embedding_matched_residual,3,20,abundant_controls,0.5,nan,calibration_error,0.037820751592516896,0.006208912834354899
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,auroc,0.6234960039456685,0.0015175824337259928
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,auprc,0.4381090521812439,0.003848830752851287
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,macro_f1,0.43555248181025186,0.006328528353459893
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,accuracy,0.438266658782959,0.006335090749334942
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,nll,1.0601226329803466,0.0015518841438997995
single_label,anatomy_matched_residual,3,20,abundant_controls,0.5,nan,calibration_error,0.04663006216287613,0.0017080127946103906
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,auroc,0.6288174668947856,0.0015942940230854357
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,auprc,0.4431490361690521,0.0031080597984646284
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,macro_f1,0.4369832932949066,0.006875950848332868
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,accuracy,0.4398666679859161,0.0072018446903679405
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,nll,1.0546940565109253,0.0025397191454309925
single_label,shuffled_anatomy_match,3,20,abundant_controls,0.5,nan,calibration_error,0.04285937920212746,0.005618553237796356
single_label,positive_prototype,5,5,balanced,0.05,nan,auroc,0.6565159996350606,0.006014799476957728
single_label,positive_prototype,5,5,balanced,0.05,nan,auprc,0.4712635934352875,0.011422756563025141
single_label,positive_prototype,5,5,balanced,0.05,nan,macro_f1,0.46065436402956644,0.005667652775088212
single_label,positive_prototype,5,5,balanced,0.05,nan,accuracy,0.46320000290870667,0.004953113107437341
single_label,positive_prototype,5,5,balanced,0.05,nan,nll,1.0245498418807983,0.006554753611511145
single_label,positive_prototype,5,5,balanced,0.05,nan,calibration_error,0.020135710947215557,0.005059565904158883
single_label,global_negative_centroid,5,5,balanced,0.2,nan,auroc,0.6198049267133077,0.007783849818134988
single_label,global_negative_centroid,5,5,balanced,0.2,nan,auprc,0.4337911784648895,0.009684486550722727
single_label,global_negative_centroid,5,5,balanced,0.2,nan,macro_f1,0.43374581933021544,0.009021061090672775
single_label,global_negative_centroid,5,5,balanced,0.2,nan,accuracy,0.43573333621025084,0.007783168679077389
single_label,global_negative_centroid,5,5,balanced,0.2,nan,nll,1.2025644779205322,0.015601703060632731
single_label,global_negative_centroid,5,5,balanced,0.2,nan,calibration_error,0.18813900649547577,0.009772416945055715
single_label,random_residual,5,5,balanced,0.5,nan,auroc,0.5852380673090617,0.007918435016231504
single_label,random_residual,5,5,balanced,0.5,nan,auprc,0.40457094510396324,0.009750455014673443
single_label,random_residual,5,5,balanced,0.5,nan,macro_f1,0.4071344077587128,0.011009479560675873
single_label,random_residual,5,5,balanced,0.5,nan,accuracy,0.40799999237060547,0.01074967413908842
