regime,method,shot,negative_shot,support_protocol,temperature,threshold,class,metric,mean,std
single_label,random_residual,1,1,balanced,0.5,nan,Cardiomegaly,f1,0.4012773811817169,0.0234845006432981
single_label,random_residual,1,1,balanced,0.5,nan,Cardiomegaly,accuracy,0.609333336353302,0.013140272845662786
single_label,random_residual,1,1,balanced,0.5,nan,Cardiomegaly,nll,0.6294456720352173,0.005686319722232931
single_label,random_residual,1,1,balanced,0.5,nan,Cardiomegaly,calibration_error,0.031307443231344226,0.00895865603123938
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,auroc,0.5047664105892181,0.011757344271822604
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,auprc,0.34571818113327024,0.010353617073063292
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,f1,0.33660553097724916,0.016517473750357222
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,accuracy,0.5661333322525024,0.008998752967975348
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,nll,0.6574737310409546,0.003940855090584065
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,No Finding,calibration_error,0.07874439507722855,0.011210228701539749
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,auroc,0.5779489874839783,0.011064431563256824
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,auprc,0.3934523105621338,0.012118594249990343
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,f1,0.40701329708099365,0.020878234786821142
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,accuracy,0.5890666604042053,0.01454954585620256
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,nll,0.6313161611557007,0.0037727727795859828
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Fracture,calibration_error,0.029760783165693284,0.007679226694381661
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Cardiomegaly,auroc,0.5842207908630371,0.01611547118275978
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Cardiomegaly,auprc,0.403753799200058,0.022056289459335604
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Cardiomegaly,f1,0.4012773811817169,0.0234845006432981
single_label,metadata_matched_residual,1,1,balanced,0.5,nan,Cardiomegaly,accuracy,0.609333336353302,0.013140272845662786
