pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,sms_normalized_logit,0.8938065052032471,0.005606334654410283
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,d0_auroc,0.6628799915313721,0.06277414075253587
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,d0_auprc,0.6296190738677978,0.06865648997407948
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,d1_auroc,0.6064799964427948,0.0818297773553892
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,d1_auprc,0.591464614868164,0.07915073618838044
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,worst_nuisance_auroc,0.6035199940204621,0.07667562638552208
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,1,worst_nuisance_auprc,0.5790542244911194,0.05666630205217751
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,auroc,0.6553200006484985,0.050057827108166204
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,auprc,0.6128031849861145,0.0581110553199685
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,f1,0.6666666865348816,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,brier,0.25016730427742007,0.00010052448231144348
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,ece,0.02229146957397461,4.074853568835035e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,false_positive_c0d1,0.5222069621086121,0.0001680693773347658
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,sms_raw_logit,0.036930781602859494,0.0030497547664224
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,sms_normalized_logit,0.6859653234481812,0.048147559605354946
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,d0_auroc,0.6967999935150146,0.06888773365649153
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,d0_auprc,0.6677569270133972,0.07977136509585213
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,d1_auroc,0.6157599925994873,0.054455548015459446
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,d1_auprc,0.5801821947097778,0.06180995902920775
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,worst_nuisance_auroc,0.6157599925994873,0.054455548015459446
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,3,worst_nuisance_auprc,0.5801821947097778,0.06180995902920775
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,auroc,0.6633599996566772,0.03827705161001192
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,auprc,0.6251126527786255,0.05188179944465579
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,f1,0.6666666865348816,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,brier,0.2501660645008087,7.406602467546788e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,ece,0.022414469718933107,4.536055623432285e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,false_positive_c0d1,0.522331964969635,0.00015940690536235107
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,sms_raw_logit,0.02873370386660099,0.0022248211950933847
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,sms_normalized_logit,0.563302743434906,0.042121541881153385
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,d0_auroc,0.7011199951171875,0.04075528744297972
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,d0_auprc,0.6707461476325989,0.04587968389423583
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,d1_auroc,0.6244799971580506,0.06296054660998769
Edema__Cardiomegaly,Edema,Cardiomegaly,frozen_protonet,5,d1_auprc,0.5968994617462158,0.08022366328134338
