partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,d1_auroc,10,0.031284990906715396,0.008923581802645145,0.05364640001078565
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,1,worst_nuisance_auroc,10,0.07405999302864075,0.0582195959205011,0.08990039013678039
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,auroc,10,0.08913626074790955,0.06583145535379714,0.11244106614202196
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,auprc,10,0.08074704110622406,0.0635421716170069,0.09795191059544123
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,d0_auroc,10,0.139970001578331,0.12136229401572796,0.15857770914093405
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,d1_auroc,10,0.03791499137878418,0.00394712308015336,0.071882859677415
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,3,worst_nuisance_auroc,10,0.10521999597549439,0.07291294862163727,0.1375270433293515
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,auroc,10,0.10426625609397888,0.08098069313052104,0.1275518190574367
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,auprc,10,0.08963969349861145,0.06707788936108194,0.11220149763614096
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,d0_auroc,10,0.16982499361038209,0.1506857216403418,0.18896426558042237
test,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,14,5,d1_auroc,10,0.040129995346069335,0.002741800857232704,0.07751818983490597
