pair,target,confounder,method,rho,shot,seed,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,auroc,0.5979499816894531
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,auprc,0.5750071406364441
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,f1,0.6786355376243591
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,brier,0.24421162903308868
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,ece,0.07027413696050644
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,sms_raw_logit,0.041111379861831665
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,sms_fixed_reference,0.964462399482727
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,ranking_disagreement,0.4572431147098541
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,support_swap_flip_rate,0.26499998569488525
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,d0_auroc,0.619700014591217
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,d1_auroc,0.5812000036239624
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0,worst_nuisance_auroc,0.5812000036239624
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,auroc,0.6226999759674072
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,auprc,0.5852392911911011
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,f1,0.6780952215194702
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,brier,0.24288338422775269
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,ece,0.09035718441009521
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,sms_raw_logit,0.024235842749476433
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,sms_fixed_reference,1.0353283882141113
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,ranking_disagreement,0.47372180223464966
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,support_swap_flip_rate,0.3174999952316284
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,d0_auroc,0.6238999962806702
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,d1_auroc,0.6287000179290771
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0,worst_nuisance_auroc,0.6238999962806702
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,auroc,0.6567749977111816
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,auprc,0.6190975904464722
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,f1,0.6916996240615845
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,brier,0.23071350157260895
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,ece,0.06257397681474686
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,sms_raw_logit,0.018051212653517723
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,sms_fixed_reference,0.9671525359153748
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,ranking_disagreement,0.42110276222229004
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,support_swap_flip_rate,0.29249998927116394
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,d0_auroc,0.6495000123977661
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,d1_auroc,0.676800012588501
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0,worst_nuisance_auroc,0.6495000123977661
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,auroc,0.6831750273704529
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,auprc,0.6462194323539734
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,f1,0.702479362487793
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,brier,0.2245926707983017
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,ece,0.053403664380311966
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0,sms_raw_logit,0.01400713436305523
