partition,pair,target,confounder,method,candidate,witness_fraction,gamma,shot,metric,n_seeds,mean,std,ci95_low,ci95_high
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,d1_auroc,5,0.5464599967002869,0.014024557381120836,0.5341669301461421,0.5587530632544316
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,worst_nuisance_auroc,5,0.5172000110149384,0.01994593743349432,0.499716626000248,0.5346833960296288
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,border_max_fraction,5,0.2814999967813492,0.03160300156767285,0.2537987445403964,0.30920124902230195
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,auroc,5,0.5251849949359894,0.023265444452472996,0.5047919337295792,0.5455780561423995
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,auprc,5,0.5343919277191163,0.02984919779435862,0.5082279522650434,0.5605559031731892
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,brier,5,0.24995395839214324,0.00010813783632992125,0.24985917139937763,0.25004874538490884
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,ece,5,0.006784188747406006,0.0017226280110991758,0.005274238720962903,0.00829413877384911
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,sms_raw_logit,5,0.011606084927916527,0.0005961838395000716,0.011083506751770606,0.01212866310406245
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,sms_fixed_reference,5,0.6126858830451966,0.034109887618282674,0.5827872482968081,0.642584517793585
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,ranking_disagreement,5,0.48830450773239137,0.02134356477189275,0.4695960483412396,0.5070129671235432
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,d0_auroc,5,0.531660008430481,0.026597248380492704,0.5083464923163357,0.5549735245446263
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,d1_auroc,5,0.5193100035190582,0.03418667551486396,0.48934406121168056,0.5492759458264359
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,worst_nuisance_auroc,5,0.5088300049304962,0.019655343517414537,0.4916013367138851,0.5260586731471073
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,border_max_fraction,5,0.22999999821186065,0.04589389964458164,0.18977222150358816,0.27022777492013317
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,auroc,5,0.551324999332428,0.020700295731957138,0.533180390115314,0.5694696085495419
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,auprc,5,0.5522081851959229,0.012773594936192512,0.5410116355709285,0.5634047348209172
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,f1,5,0.6671126127243042,0.000997121272496398,0.6662385973930359,0.6679866280555725
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,brier,5,0.24818142354488373,0.001316508791944511,0.24702745270939222,0.24933539438037525
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,ece,5,0.015445324266329408,0.009907345615716276,0.006761152943185578,0.02412949558947324
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,sms_raw_logit,5,0.004646684601902961,0.0003627260647604038,0.004328741187800982,0.004964628016004941
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,sms_fixed_reference,5,0.25302596390247345,0.026601048665394818,0.22970911669174113,0.2763428111132058
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,ranking_disagreement,5,0.490526282787323,0.021025090099740826,0.47209697875446033,0.5089555868201857
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,support_swap_flip_rate,5,0.017499999701976778,0.03913118893984613,-0.016799999713897694,0.05179999911785125
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,d0_auroc,5,0.545359992980957,0.020367320955662634,0.5275072490238013,0.5632127369381128
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_rho03,anchor_rho03,,,3,d1_auroc,5,0.5601800084114075,0.02577530791005768,0.5375869548852796,0.5827730619375353
