pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,ece,0.02164177894592285,0.00010273637675118616
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,false_positive_c0d1,0.5214909791946412,0.00027895500193930625
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,sms_raw_logit,0.06487799435853958,0.0029932465442968352
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,sms_normalized_logit,0.8938065052032471,0.005606334654410283
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,d0_auroc,0.6628799915313721,0.06277414075253587
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,d0_auprc,0.6296190738677978,0.06865648997407948
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,d1_auroc,0.6064799964427948,0.0818297773553892
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,d1_auprc,0.591464614868164,0.07915073618838044
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,worst_nuisance_auroc,0.6035199940204621,0.07667562638552208
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,worst_nuisance_auprc,0.5790542244911194,0.05666630205217751
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,auroc,0.6553200006484985,0.050057827108166204
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,auprc,0.6128031849861145,0.0581110553199685
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,f1,0.6666666865348816,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,brier,0.25016730427742007,0.00010052448231144348
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,ece,0.02229146957397461,4.074853568835035e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,false_positive_c0d1,0.5222069621086121,0.0001680693773347658
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,sms_raw_logit,0.036930781602859494,0.0030497547664224
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,sms_normalized_logit,0.6859653234481812,0.048147559605354946
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,d0_auroc,0.6967999935150146,0.06888773365649153
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,d0_auprc,0.6677569270133972,0.07977136509585213
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,d1_auroc,0.6157599925994873,0.054455548015459446
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,d1_auprc,0.5801821947097778,0.06180995902920775
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,worst_nuisance_auroc,0.6157599925994873,0.054455548015459446
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,3,worst_nuisance_auprc,0.5801821947097778,0.06180995902920775
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,auroc,0.6633599996566772,0.03827705161001192
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,auprc,0.6251126527786255,0.05188179944465579
