pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,worst_support_panel_error,0.5
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,d0_auroc,0.4228000044822693
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,d0_auprc,0.46015632152557373
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,d1_auroc,0.365200012922287
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,d1_auprc,0.45405828952789307
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,worst_nuisance_auroc,0.365200012922287
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,5,0,10.0,0.1,worst_nuisance_auprc,0.45405828952789307
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,auroc,0.39274999499320984
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,auprc,0.4404056668281555
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,brier,0.25068408250808716
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,ece,0.022573649883270264
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,false_positive_c0d1,0.5229941010475159
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,sms_raw_logit,0.03215080872178078
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,sms_normalized_logit,0.6673997640609741
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,support_swap_error_gap,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,worst_support_panel_error,0.5
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,d0_auroc,0.44040000438690186
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,d0_auprc,0.46068358421325684
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,d1_auroc,0.3456000089645386
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,d1_auprc,0.43376439809799194
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,worst_nuisance_auroc,0.3456000089645386
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,10,0,10.0,0.1,worst_nuisance_auprc,0.43376439809799194
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,auroc,0.6367999911308289
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,auprc,0.573340117931366
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,f1,0.6666666865348816
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,brier,0.2500802278518677
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,ece,0.021754324436187744
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,false_positive_c0d1,0.5216013193130493
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,sms_raw_logit,0.06239674612879753
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,sms_normalized_logit,0.8875189423561096
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,1,0,10.0,0.1,support_swap_flip_rate,0.0
